ts,cpu_pct,rss_mb
20:30:22,0.0,1408.5
20:30:24,0.0,1344.5
20:30:26,2.1,1280.6
20:30:28,2.4,1218.2
20:30:30,4.0,1193.7
20:30:32,8.8,1433.0
20:30:34,13.9,1433.1
20:30:36,9.6,1433.1
20:30:38,11.6,1433.2
20:30:40,11.5,1433.2
20:30:42,11.0,1433.2
20:30:44,10.7,1433.3
20:30:46,11.5,1433.8
20:30:48,11.0,1433.8
20:30:50,14.1,1433.8
20:30:52,12.2,1434.0
20:30:54,13.0,1434.1
20:30:56,11.4,1434.1
20:30:58,8.0,1434.1
20:31:00,8.9,1434.1
20:31:02,10.2,1434.2
20:31:04,12.3,1434.3
20:31:06,8.9,1434.3
20:31:08,10.2,1434.3
20:31:10,10.7,1402.3
20:31:12,11.3,1052.5
20:31:14,11.0,1020.5
20:31:16,10.0,988.5
20:31:18,13.1,960.1
20:31:20,4.2,964.7
20:31:22,4.7,968.6
20:31:24,7.0,971.9
20:31:26,6.6,975.0
20:31:28,6.8,976.1
20:31:30,5.6,976.1
20:31:32,8.9,977.9
20:31:34,10.0,977.9
20:31:36,10.6,978.1
20:31:38,9.4,978.2
20:31:40,10.4,978.0
20:31:42,10.5,978.2
20:31:44,9.9,978.2
20:31:46,9.1,978.2
20:31:48,8.4,978.2
20:31:50,9.9,978.3
20:31:52,24.0,981.4
20:31:54,16.5,986.0
20:31:56,7.9,988.5
20:31:58,22.1,988.7
20:32:00,15.5,989.3
20:32:02,7.4,991.1
20:32:04,17.7,992.8
20:32:06,16.1,993.5
20:32:08,6.7,994.9
20:32:10,22.6,996.6
20:32:12,12.8,999.8
20:32:14,13.9,1002.0
20:32:16,22.0,1002.2
20:32:18,8.8,1004.9
20:32:20,11.8,1006.3
20:32:22,15.9,1007.3
20:32:24,9.1,1007.9
20:32:26,16.0,864.4
20:32:28,14.1,864.6
20:32:30,9.0,867.8
20:32:32,13.4,869.2
20:32:34,19.0,869.4
20:32:36,7.5,870.8
20:32:38,11.7,872.3
20:32:40,22.6,872.5
20:32:42,16.3,875.0
20:32:44,15.3,877.2
20:32:46,15.1,878.7
20:32:48,13.5,880.0
20:32:50,8.4,842.9
20:32:52,7.8,843.4
20:32:54,10.5,846.4
20:32:56,3.7,814.4
20:32:58,4.6,814.4
20:33:00,3.3,814.4
20:33:02,2.6,814.4
20:33:04,3.1,814.4
