path,level,mode,tag,samples,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,qps,total,ok,errors,rate_limited,timeouts,error_rate,success_rate,timeout_rate,rate_limited_rate,elapsed_s
auth,100,mock,mock_20260828,599,1886.49,2137.32,2390.93,2640.71,1868.49,2740.49,50.18,599,599,0,0,0,0.0,1.0,0.0,0.0,11.938
image,100,mock,mock_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,599,0,0,0,599,0.0,0.0,1.0,0.0,33.098
search,100,mock,mock_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,18.44,599,0,0,0,599,0.0,0.0,1.0,0.0,32.488
timeline,100,mock,mock_20260828,33,1267.86,1520.6,1622.95,1737.15,1213.85,1737.15,18.98,599,33,0,0,566,0.0,0.055092,0.944908,0.0,31.559
auth,10,mock,mock_20260828,209,198.86,265.69,286.93,668.55,212.3,689.19,46.62,209,209,0,0,0,0.0,1.0,0.0,0.0,4.483
image,10,mock,mock_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,60,0,0,0,60,0.0,0.0,1.0,0.0,33.032
search,10,mock,mock_20260828,1,5044.19,5044.19,5044.19,5044.19,5044.19,5044.19,1.96,60,1,0,0,59,0.0,0.016667,0.983333,0.0,30.57
timeline,10,mock,mock_20260828,209,177.08,260.49,314.39,352.22,184.54,370.55,53.51,209,209,0,0,0,0.0,1.0,0.0,0.0,3.906
auth,1,mock,mock_20260828,50,42.44,53.94,59.01,81.22,43.25,81.22,23.07,50,50,0,0,0,0.0,1.0,0.0,0.0,2.167
image,1,mock,mock_20260828,50,42.54,57.86,60.0,115.59,44.12,115.59,22.63,50,50,0,0,0,0.0,1.0,0.0,0.0,2.209
search,1,mock,mock_20260828,16,1939.41,2182.19,2355.98,2355.98,1899.65,2355.98,0.53,16,16,0,0,0,0.0,1.0,0.0,0.0,30.395
timeline,1,mock,mock_20260828,50,36.1,46.85,47.73,53.46,35.8,53.46,27.88,50,50,0,0,0,0.0,1.0,0.0,0.0,1.793
auth,50,mock,mock_20260828,499,1068.13,3659.46,3741.72,3818.98,1584.84,4105.53,25.96,549,499,0,0,50,0.0,0.908925,0.091075,0.0,21.149
image,50,mock,mock_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,300,0,0,0,300,0.0,0.0,1.0,0.0,32.078
search,50,mock,mock_20260828,0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,300,0,0,0,300,0.0,0.0,1.0,0.0,31.68
timeline,50,mock,mock_20260828,549,866.09,1115.82,1322.68,1730.04,886.53,1759.22,55.2,549,549,0,0,0,0.0,1.0,0.0,0.0,9.945
